SOC code,Job type,Related job titles
2129,Engineering professionals not elsewhere classified.,Acoustic engineers Biomedical engineers Brewers Clinical Engineers Energy engineers Food technologists Gas engineers Heating and ventilating engineers Materials engineers Mechatronic engineers Nuclear engineers Patent engineers Robotics engineers Traffic engineers Engineering professionals not elsewhere classified.
2131,IT project managers,IT project managers
2132,IT managers,IT information managers IT product managers IT service delivery managers IT systems managers IT test managers Network managers Software development managers Technical support managers IT managers not elsewhere classified.
2133,"IT business analysts, architects and systems designers","Computer analysts and scientists Data architects Data engineers IT systems architects IT business analysts IT solutions architects and designers IT business analysts, architects and systems designers not elsewhere classified."
2134,Programmers and software development professionals,Computer games designers Computer programmers Software developers Programmers and software development professionals not elsewhere classified.
2135,Cyber security professionals,Cyber operational defence specialists Cyber security management and governance specialists Forensic computer specialists Secure system development specialists Cyber security professionals not elsewhere classified.
2136,IT quality and testing professionals,IT quality and testing professionals
2137,IT network professionals,IT network professionals
2139,Information technology professionals not elsewhere classified.,DevOps engineers IT consultants Webmasters and website managers Information technology professionals not elsewhere classified.
2141,Web design professionals,Application designers UI and UX designers and researchers Web designers Web design professionals not elsewhere classified.
2142,Graphic and multimedia designers,Multimedia animators Graphic and multimedia designers not elsewhere classified.
2151,Conservation professionals,Conservationists Ecologists Heritage officers Conservation professionals not elsewhere classified.
2152,Environment professionals,Energy managers Environmental and geo-environmental engineers Environmental consultants Environmental scientists Sustainability officers Environmental professionals not elsewhere classified.
2161,Research and development managers,Laboratory managers Research and development design managers Research and development managers not elsewhere classified.
2162,"Other researchers, unspecified discipline","Other researchers, unspecified discipline"
2211,Generalist medical practitioners,General practitioners Public health doctors Generalist medical practitioners not elsewhere classified.
2212,Specialist medical practitioners,Anaesthetists Cardiologists Dermatologists Gastroenterologists Gynaecologists and obstetricians Haematologists Homeopaths Neurologists Oncologists Paediatricians Psychiatrists Radiologists Rheumatologists Surgeons Specialist medical practitioners not elsewhere classified.
2221,Physiotherapists,Physiotherapists
2222,Occupational therapists,Occupational therapists
2223,Speech and language therapists,Speech and language therapists
2224,Psychotherapists and cognitive behaviour therapists,Cognitive behavioural therapists Psychotherapists Psychotherapists and cognitive behaviour therapists not elsewhere classified.
2225,Clinical psychologists,Clinical psychologists
2226,Other psychologists,Counselling psychologists Educational psychologists Forensic psychologists Health psychologists Occupational psychologists Research psychologists Sports psychologists Other psychologists not elsewhere classified.
2229,Therapy professionals not elsewhere classified.,Acupuncturists Art therapists Chiropractors and osteopaths Drama therapists Music therapists Nutritionists Orthoptists Play therapists Psychological wellbeing practitioners Sports therapists Therapy professionals not elsewhere classified.
2231,Midwifery nurses,Midwifery nurses
2232,Registered community nurses,Learning disability community nurses Community nurses not elsewhere classified.
2233,Registered specialist nurses,Diabetes specialist nurses Intensive care nurses Theatre nurses Specialist nurses not elsewhere classified.
2234,Registered nurse practitioners,Mental health nurse practitioners Nurse practitioners not elsewhere classified.
2235,Registered mental health nurses,Registered mental health nurses
2236,Registered children’s nurses,Neonatal nurses Paediatric nurses School nurses
2237,Other registered nursing professionals,Other registered nursing professionals
2240,Veterinarians,Veterinarians
2251,Pharmacists,Pharmacists
2252,Optometrists,Optometrists
2253,Dental practitioners,Dentists and dental surgeons Endodontists Orthodontists Periodontists Dental practitioners not elsewhere classified.
2254,Medical radiographers,Diagnostic radiographers and sonographers Therapeutic radiographers Vascular scientists Medical radiographers not elsewhere classified.
2255,Paramedics,Paramedics
2256,Podiatrists,Podiatrists
