SOC code,Job type,Related job titles
5323,Painters and decorators,Painters and decorators
5330,Construction and building trades supervisors,Carpenter and joinery supervisors Demolition supervisors Painting supervisors Plumbing supervisors Road construction supervisors Roofing supervisors Scaffolding supervisors Construction and building trade supervisors not elsewhere classified.
5411,Upholsterers,Curtain makers Trimmers and upholsterers Upholsterers not elsewhere classified.
5412,Footwear and leather working trades,Footwear makers and repairers Leather workers Footwear and leather working trades not elsewhere classified.
5413,Tailors and dressmakers,Costume makers Dressmakers Fitters and alterations assistants Kilt makers Milliners Tailors Tailors and dressmakers not elsewhere classified.
5419,"Textiles, garments and related trades not elsewhere classified.","Embroiderers and sewers Knitters Sail makers Weavers Textiles, garments and related trades not elsewhere classified."
5421,Pre-press technicians,Pre-press technicians
5422,Printers,Digital printers Flexographic printers Lithographic printers Screen printers Printers not elsewhere classified.
5423,Print finishing and binding workers,Print finishing and binding workers
5431,Butchers,Butchers Slaughterers
5432,Bakers and flour confectioners,Bakers Cake decorators and designers Bakers and flour confectioners not elsewhere classified.
5433,Fishmongers and poultry dressers,Fishmongers Poultry dressers Fishmongers and poultry dressers not elsewhere classified.
5434,Chefs,Chefs
5435,Cooks,Cooks
5436,Catering and bar managers,Catering and bar managers
5441,"Glass and ceramics makers, decorators and finishers","Ceramic makers, decorators and finishers Ceramic potters Glass blowers Glass makers, decorators and finishers Optical glass makers Glass and ceramics makers, decorators and finishers not elsewhere classified."
5442,Furniture makers and other craft woodworkers,Cabinet makers Furniture makers and fitters Furniture restorers Furniture sprayers and finishers Picture framers Shed makers Furniture makers and other craft woodworkers not elsewhere classified.
5443,Florists,Florists
5449,Other skilled trades not elsewhere classified.,"Basket makers Candle makers Goldsmiths, silversmiths, jewellers and precious stone workers Hairpiece and wig makers Metal engravers Craft model makers Musical instrument repairers, makers and tuners Sign makers and writers Toy makers and repairers Other skilled trades not elsewhere classified."
6111,Early education and childcare assistants,Early education and childcare assistants
6112,Teaching assistants,Cover supervisors School teaching assistants Teaching assistants not elsewhere classified.
6113,Educational support assistants,Behaviour support assistants Communication support assistants Learning support assistants Educational support assistants not elsewhere classified.
6114,Childminders,Childminders
6116,Nannies and au pairs,Au pairs Nannies
6117,Playworkers,Playworkers
6121,Pest control officers,Fumigators Mole catchers Rodent control officers Pest control officers not elsewhere classified.
6129,Animal care services occupations not elsewhere classified,Animal boarding assistants Animal breeders Animal groomers Animal trainers Animal walkers Animal welfare workers Stable workers Veterinary assistants Zookeepers Animal care services occupations not elsewhere classified.
6131,Nursing auxiliaries and assistants,Blood donor carers and phlebotomists First aid trainers Maternity care assistants Occupational therapy assistants Physiotherapy assistants Radiography assistants Speech and language therapy assistants Sterile services assistants Theatre assistants Nursing auxiliaries and assistants not elsewhere classified.
6132,Ambulance staff,Ambulance staff
6133,Dental nurses,Dental nurses
6134,Houseparents and residential wardens,Foster carers Residential childcare practitioners School matrons and houseparents Residential housing wardens Houseparents and residential wardens not elsewhere classified.
6135,Care workers and home carers,Community support workers Home care workers Residential care workers Care workers and home carers not elsewhere classified.
6136,Senior care workers,Senior community support workers Senior home care workers Senior residential care workers Senior care workers not elsewhere classified.
6137,Care escorts,Care escorts
6138,"Undertakers, mortuary and crematorium assistants","Crematorium assistants Driver-bearers Embalmers Funeral directors and undertakers Taxidermists Undertakers, mortuary and crematorium assistants not elsewhere classified."
6211,Sports and leisure assistants,Bookmakers Croupiers Film and television runners Leisure and recreation assistants Lifeguards Museum and heritage assistants Sports and leisure assistants not elsewhere classified.
6212,Travel agents,Travel agents
6213,Air travel assistants,Flight attendants Passenger services assistants Air travel assistants not elsewhere classified.
6214,Rail travel assistants,Railway station assistants Revenue protection officers Train conductors and guards Rail travel assistants not elsewhere classified.
6219,Leisure and travel service occupations not elsewhere classified.,Holiday representatives Ship stewards Tour guides Tourist information assistants Leisure and travel service occupations not elsewhere classified.
6221,Hairdressers and barbers,Barbers Hairdressers Hairdressers and barbers not elsewhere classified.
6222,Beauticians and related occupations,Body piercers Make-up artists Nail technicians Weight loss advisers Beauticians and related occupations not elsewhere classified.
6231,Housekeepers and related occupations,Housekeepers and related occupations
6232,Caretakers,Caretakers
6240,Cleaning and housekeeping managers and supervisors,Cleaning and housekeeping managers and supervisors
6250,Bed and breakfast and guest house owners and proprietors,Bed and breakfast and guest house owners and proprietors
6311,Police community support officers,Police community support officers
6312,Parking and civil enforcement occupations,Car park attendants Civil enforcement officers Neighbourhood wardens Parking and civil enforcement occupations not elsewhere classified.
7111,Sales and retail assistants,Sales and retail and assistants
7112,Retail cashiers and check-out operators,Retail cashiers and check-out operators
7113,Telephone salespersons,Telephone salespersons
7114,Pharmacy and optical dispensing assistants,Optical dispensing assistants Pharmacy dispensing assistants Pharmacy and optical dispensing assistants not elsewhere classified.
7115,Vehicle and parts salespersons and advisers,Vehicle parts advisers Vehicle sales executives
7121,Collector salespersons and credit agents,Collector salespersons and credit agents
7122,"Debt, rent and other cash collectors","Bailiffs Debt collectors Meter readers Pawn brokers Vending machine operators Debt, rent and other cash collectors not elsewhere classified."
7123,Roundspersons and van salespersons,Roundspersons and van salespersons
7124,Market and street traders and assistants,Market and street traders and assistants
7125,Visual merchandisers and related occupations,Fashion stylists Visual merchandisers and window dressers Visual merchandisers and related occupations not elsewhere classified.
7129,Sales related occupations not elsewhere classified.,Demonstrators and product promoters Hire desk controllers Sales energy consultants Sales related occupations not elsewhere classified.
7131,Shopkeepers and owners - retail and wholesale,Antique dealers Art dealers Car traders Newsagents Retail jewellers Wholesalers Wine merchants Shopkeepers and owners - retail and wholesale not elsewhere classified.
7132,Sales supervisors - retail and wholesale,Sales supervisors - retail and wholesale
7211,Call and contact centre occupations,Call and contact centre occupations
7212,Telephonists,Telephonists
7213,Communication operators,Air traffic control assistants Emergency services call handlers Taxi controllers Communication operators not elsewhere classified.
7214,Market research interviewers,Field and telephone interviewers Mystery shoppers Political canvassers Traffic enumerators
7219,Customer service occupations not elsewhere classified.,Student ambassadors Customer service occupations not elsewhere classified.
7220,Customer service supervisors,Customer service supervisors
8111,"Food, drink and tobacco process operatives","Brewery and distillery workers Dairy workers Food process bakery workers Tobacco workers Food, drink and tobacco process operatives not elsewhere classified."
8112,Textile process operatives,Textile process operatives
8113,Chemical and related process operatives,Chemical and related process operatives
8114,Plastics process operatives,Plastic fabricators Plastics process operatives not elsewhere classified.
8115,Metal making and treating process operatives,Galvanisers and platers Metal sprayers and powder coaters Metal making and treating process operatives not elsewhere classified.
8119,Process operatives not elsewhere classified.,Ceramic workers Concrete operatives Glass workers Rubber workers Process operatives not elsewhere classified.
8120,Metal working machine operatives,Press and stamp operators Metal working machine operatives not elsewhere classified.
8131,Paper and wood machine operatives,Paper and wood machine operatives
8132,Mining and quarry workers and related operatives,Coal miners and quarry workers Offshore drilling workers Mining and quarry workers and related operatives not elsewhere classified.
8133,Energy plant operatives,Boiler operatives Compressor operatives Nuclear decommissioning operatives Energy plant operatives not elsewhere classified.
8134,Water and sewerage plant operatives,Water and sewerage distribution operatives Water treatment operatives Water and sewerage plant operatives not elsewhere classified.
8135,Printing machine assistants,Printing machine assistants
8139,Plant and machine operatives not elsewhere classified.,Aerial installers Cable operatives Laser operators Spring makers Plant and machine breakers and dismantlers Plant and machine operatives not elsewhere classified.
8141,Assemblers,Assemblers
8142,Assemblers,Metal goods assemblers Vehicle and vehicle part assemblers Assemblers not elsewhere classified.
8143,Routine inspectors and testers,Routine inspectors and testers
8144,"Weighers, graders and sorters","Weighers, graders and sorters"
8145,"Tyre, exhaust and windscreen fitters","Tyre technicians Windscreen fitters Tyre, exhaust and windscreen fitters not elsewhere classified."
8146,Sewing machinists,Sewing machinists
8149,Assemblers and routine operatives not elsewhere classified.,Assemblers and routine operatives not elsewhere classified.
8151,"Scaffolders, stagers and riggers","Engineering construction riggers Scaffolders and stagers Scaffolders, stagers and riggers not elsewhere classified."
8152,Road construction operatives,Road construction operatives
8153,Rail construction and maintenance operatives,Rail construction and maintenance operatives
8159,Construction operatives not elsewhere classified.,Asbestos removers Blind fitters Building maintenance operatives Cable layers Ceiling fitters Demolition operatives Drainage operatives Insulation engineers Pipe layers Sign fitters Construction operatives not elsewhere classified.
8160,"Production, factory and assembly supervisors","Production, factory and assembly supervisors"
8211,Heavy and large goods vehicle drivers,Heavy and large goods vehicle drivers
8212,Bus and coach drivers,Bus and coach drivers
8213,Taxi and cab drivers and chauffeurs,Taxi and cab drivers and chauffeurs
8214,Delivery drivers and couriers,Bicycle and motorcycle couriers Delivery drivers and couriers not elsewhere classified.
8215,Driving instructors,Cycling instructors Forklift instructors Heavy and large vehicle driving instructors Motorcycle instructors Passenger carrying vehicle and car driving instructors Driving instructors not elsewhere classified.
8219,Road transport drivers not elsewhere classified.,Road transport drivers not elsewhere classified.
8221,Crane drivers,Crane drivers
8222,Fork-lift truck drivers,Fork-lift truck drivers
8229,Mobile machine drivers and operatives not elsewhere classified.,Agricultural machinery operators Mobile machine drivers and operatives not elsewhere classified.
8231,Train and tram drivers,Train and tram drivers
8232,Marine and waterways transport operatives,Marine and waterways transport operatives
8233,Air transport operatives,Aircraft refuellers Baggage handlers and ramp agents Air transport operatives not elsewhere classified.
8234,Rail transport operatives,Level crossing attendants Railway controllers and signallers Shunters Rail transport operatives not elsewhere classified.
8239,Other drivers and transport operatives not elsewhere classified.,Other drivers and transport operatives not elsewhere classified.
9111,Farm workers,Farm labourers
9112,Forestry and related workers,Forest workers Park wardens Forestry and related workers not elsewhere classified.
9119,Fishing and other elementary agriculture occupations not elsewhere classified.,Cutters and pickers Fisheries and aquaculture labourers Garden and park labourers Milkers Sheep shearers Fishing and other elementary agriculture occupations not elsewhere classified.
9121,Groundworkers,Groundworkers
9129,Elementary construction occupations not elsewhere classified.,Builder’s labourers Carpenter and joiner assistants Construction electrician’s assistants Grave diggers Insulation labourers Marquee erectors Plumber’s assistants Elementary construction occupations not elsewhere classified.
9131,Industrial cleaning process occupations,Industrial cleaning process occupations
9132,"Packers, bottlers, canners and fillers","Packers, bottlers, canners and fillers"
9139,Elementary process plant occupations not elsewhere classified.,Elementary process plant occupations not elsewhere classified.
9211,"Postal workers, mail sorters and messengers","Postal delivery workers Mail sorters Postal workers, mail sorters and messengers not elsewhere classified."
9219,Elementary administration occupations not elsewhere classified.,Reprographics assistants Elementary administration occupations not elsewhere classified.
9221,Window cleaners,Window cleaners
9222,Street cleaners,Street cleaners
9223,Cleaners and domestics,Commercial cleaners Private house cleaners Cleaners and domestics not elsewhere classified.
9224,"Launderers, dry cleaners and pressers","Carpet cleaners Dry cleaners and laundry workers Ironers and pressers Launderers, dry cleaners and pressers not elsewhere classified."
9225,Refuse and salvage occupations,Recycling operatives Refuse collectors Refuse and salvage occupations not elsewhere classified.
9226,Vehicle valeters and cleaners,Vehicle valeters and cleaners
9229,Elementary cleaning occupations not elsewhere classified.,Bin cleaners Chimney sweepers Drain cleaners Toilet attendants Elementary cleaning occupations not elsewhere classified.
9231,Security guards and related occupations,CCTV operators Court ushers Detention officers Door supervisors Security guards and related occupations not elsewhere classified.
9232,School midday and crossing patrol occupations,School midday and crossing patrol occupations
9233,Exam invigilators,Exam invigilators
9241,Shelf fillers,Shelf fillers
9249,Elementary sales occupations not elsewhere classified.,Retail order pickers Trolley collectors Elementary sales occupations not elsewhere classified.
9251,Elementary storage supervisors,Elementary storage supervisors
9252,Warehouse operatives,Warehouse operatives
9253,Delivery operatives,Delivery operatives
9259,Elementary storage occupations not elsewhere classified.,"Dockers, slingers and stevedores Elementary storage occupations not elsewhere classified."
9261,Bar and catering supervisors,Bar and catering supervisors
9262,Hospital porters,Hospital porters
9263,Kitchen and catering assistants,Kitchen and catering assistants
9264,Waiters and waitresses,Waiters and waitresses
9265,Bar staff,Bar staff
9266,Coffee shop workers,Coffee shop workers
9267,Leisure and theme park attendants,Arcade attendants Cinema and theatre attendants Event stewards Gallery and museum attendants Ride attendants Leisure and theme park attendants not elsewhere classified.
9269,Other elementary services occupations not elsewhere classified.,"Bingo callers and assistants Clairvoyants, mediums and astrologers Stagehands Turnstile operators Other elementary service occupations not elsewhere classified."
